seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes
chr20	4764234	4764312	79	*	4	1.61142371958071e-77	3.39655970365784e-64	2.73963839201634e-21	7.5367564961262e-63	0.0628804240142657	0.0476325472422612	RASSF2
chr3	46037408	46037608	201	*	5	1.85720393103975e-84	1.4756913470693e-54	6.34687592380931e-34	9.18658664255063e-63	0.125096264921063	0.0218184443588756	NA
chr14	101359793	101360042	250	*	7	2.15112513593348e-82	1.33556968122034e-55	2.65212184462906e-30	1.02028657587449e-62	0.121839603559871	0.0325546778347498	AL117190.3
chr8	144521374	144521607	234	*	7	3.759343704551e-68	5.15280822384226e-55	2.31431341141981e-23	1.07484144924114e-62	0.0546432181119871	0.0156367447161155	ZC3H3
chr4	187454811	187454891	81	*	3	1.33499840033559e-81	7.2676043476896e-64	2.22700996701216e-24	1.95108176330589e-62	0.0615105263157896	0.056514608275099	RP11-215A19.2, MTNR1A
chr15	43213015	43213114	100	*	5	2.99334422911174e-92	6.75791401309674e-44	2.32558661068829e-32	1.96082190279471e-62	0.0491855987678091	0.0153228725452445	NA
chr7	27154537	27154720	184	*	4	2.5617668322787e-48	5.44796160837519e-64	1.50260520721588e-18	4.89266058264453e-62	0.066032929636673	0.0606202681663951	HOXA-AS2, HOXA3
chr5	180018465	180018564	100	*	4	2.01996228193009e-114	1.28393622998314e-53	2.0038933587814e-41	1.20195008238801e-61	0.214821909896034	0.0979298228725452	SCGB3A1
chr2	191045563	191045697	135	*	4	1.85083628646628e-74	3.89528583862893e-47	3.12439794616898e-33	2.70499962730897e-61	0.16478436657682	0.0607585675779746	C2orf88
chr3	50140246	50140385	140	*	4	5.76145919648383e-76	8.10247433049051e-61	2.40253445722712e-22	2.91493513439537e-61	0.051258250825083	0.0462529727237432	RBM5
chr15	65809997	65810238	242	*	7	6.76905216136893e-66	1.59479675711207e-53	3.34802697085929e-26	2.93919785226125e-61	0.234875818251829	0.0468969690301996	DPP8
chr2	62115920	62116013	94	*	4	9.90812817596924e-92	4.23497059096116e-52	3.59707165792266e-29	3.66279587373077e-61	0.0919849826723142	0.0509255872160185	COMMD1, CCT4
chr12	132269563	132269737	175	*	4	3.9014898712992e-79	9.13694041445083e-60	4.34671969314301e-30	7.28206823036226e-61	-0.114488357843138	-0.0015236461852783	SFSWAP
chr11	118842230	118842484	255	*	7	2.88259199563188e-49	5.31627469968846e-52	2.89939223639331e-19	9.36108759676067e-61	0.149711205236812	0.0741998102656654	FOXR1
chr15	26026249	26026414	166	*	4	6.78398366793034e-54	5.56861943185631e-48	7.17723528949305e-25	1.34547607082434e-60	0.103182933060807	0.0533856647041665	ATP10A
chr11	64937570	64937741	172	*	7	4.56531749504096e-62	2.52016715751205e-61	3.17015361705028e-15	2.47594572091897e-60	-0.0699385964912278	0.0234881578360224	SPDYC
chr1	26146153	26146223	71	*	5	1.60746478637375e-82	1.01972382088498e-55	7.17101154958738e-28	3.56412934935854e-60	0.0341066615325375	0.0267693492491336	RP1-317E23.6, MTFR1L, RP1-317E23.3, AL020996.1
chr17	37784694	37784711	18	*	3	3.19126317117861e-80	1.43326037101969e-61	3.76353838045497e-22	4.39897117923109e-60	0.199941666666667	0.136232137325575	PPP1R1B
chr11	34535281	34535579	299	*	8	3.23196106796202e-48	2.90076928954985e-58	8.91576681191028e-19	5.38590460555874e-60	0.0435057645631068	0.0284208476061885	ELF5
chr22	50493126	50493181	56	*	3	4.57535949647354e-84	1.84425550341189e-58	1.258017716787e-27	5.68176362220329e-60	0.0916083952145218	0.0643089383925566	TTLL8
chr16	88717456	88717755	300	*	10	4.36249666990252e-56	6.70587901724216e-40	2.98167184441822e-30	5.70119196720444e-60	0.0971948402002309	0.0345953022718521	CYBA
chr10	25464008	25464425	418	*	11	2.49934005944173e-50	1.78514072187361e-48	3.70937291613997e-15	1.03625033561547e-59	0.115079899884482	0.0563707249623691	GPR158, GPR158-AS1
chr6	26602900	26602957	58	*	3	4.44197794667025e-79	2.58600406998085e-60	1.49484646618612e-27	1.61504352146927e-59	0.0745257997936021	0.0635443116673515	NA
chr7	95115163	95115246	84	*	4	1.18120412681458e-77	1.3519993127879e-59	1.65740643138798e-23	1.81616591195304e-59	0.0836769150599271	0.0503886083437364	ASB4
chr15	73735291	73735531	241	*	8	3.60670742626205e-58	3.59697623678106e-58	3.33288170360282e-14	2.1555415736999e-59	0.0558681605002607	0.0129026816534476	C15orf60
chr5	169659745	169659863	119	*	7	1.94848658726165e-70	7.81965482325505e-48	1.2003675621099e-26	2.17297579477115e-59	0.0667552376085846	0.0206035924643969	C5orf58
chr1	161171810	161171902	93	*	4	5.6718009223797e-104	3.50326560598426e-49	1.92350047033908e-40	2.34916645694554e-59	0.214982672314209	0.107526713515595	NDUFS2
chr22	19712623	19712640	18	*	2	7.34689674512099e-90	6.75808640394371e-60	1.96919279428827e-31	4.49633770669212e-59	0.0974540763673891	0.0970624342232986	NA
chr19	36726982	36726989	8	*	3	3.4830251639457e-81	8.3587112814494e-59	1.02691470612299e-28	5.49741651318618e-59	0.0646477929042908	0.0487936690595229	ZNF146, ZNF565
chr17	19648846	19649051	206	*	6	7.75167536026678e-58	7.01674563216539e-59	1.57446602169034e-17	8.54103499975606e-59	0.0669043935643566	0.0412540838949624	ALDH3A1
chr17	4089136	4089210	75	*	2	3.6569992040545e-78	2.25643583693969e-59	7.87738672774013e-34	9.8912197058678e-59	0.168755417956656	0.114545561701101	CYB5D2, ANKFY1
chr11	5567996	5568008	13	*	2	1.51402883250556e-97	2.55999197883955e-57	9.82295803410586e-42	1.00954615523839e-58	0.189618551328817	0.131288069736969	HBG2
chr7	6144367	6144399	33	*	2	1.32694964031038e-93	7.53312248585496e-59	1.54686268284367e-36	1.179700627899e-58	0.114160569888333	0.0934515787447054	NA
chr1	182360683	182360822	140	*	4	7.45560419974115e-58	4.56383657348847e-56	1.87403064820051e-25	1.5054766342845e-58	0.115288794763188	0.0689779072006161	GLUL
chr17	62051709	62051773	65	*	3	5.5762447905474e-88	8.53850121728137e-56	3.93098273744451e-28	1.73114355119184e-58	0.147631578947369	0.0985174158710901	CTC-264K15.6
chr3	138665957	138666050	94	*	5	1.03525194047962e-73	3.29296754657591e-51	4.50148888597342e-28	2.56091665536383e-58	0.126709664998075	0.0542244897959184	FOXL2
chr4	73935377	73935531	155	*	5	1.8286801461322e-62	6.23410895246556e-58	6.41653089251995e-22	3.38150867566844e-58	0.0402117828263381	0.0205146322680015	COX18
chr4	99850271	99850390	120	*	4	3.39795106503305e-65	1.05703390945802e-47	1.61556521140528e-30	4.96002764479954e-58	0.152685791297651	0.0638876588371197	RP11-571L19.7, EIF4E
chr17	72931736	72931903	168	*	7	1.77616026385071e-59	1.37002120908511e-54	2.331036388943e-18	5.00931857672887e-58	0.140094339622642	0.0860306527924199	OTOP3
chr7	44621830	44622047	218	*	6	1.13146831936695e-61	9.91807779706356e-52	9.6603684431044e-22	5.59061710430872e-58	-0.0482441278398152	-0.00182774996791171	TMED4
chr19	36506928	36507075	148	*	3	1.86823701976399e-54	1.18988540097753e-58	6.87190376940001e-27	6.53299103489581e-58	0.0755760184165748	0.0622178846783379	AC002116.7, CLIP3
chr12	109526101	109526229	129	*	3	5.7269385989301e-77	2.83913250249537e-57	5.19633984250003e-27	7.70194089083237e-58	0.100161021365294	0.0640050322369699	ALKBH2
chr11	70282432	70282501	70	*	3	2.27542065187828e-70	5.43134362927055e-59	2.34789742585797e-24	8.61371095768356e-58	0.0793229432805315	0.0747584668121458	CTTN
chr7	883516	883564	49	*	3	2.12427482691606e-81	9.80998218541422e-58	3.32686871087502e-29	1.02399888117662e-57	0.0803013481363997	0.0499634239930443	SUN1
chr6	88412160	88412167	8	*	2	2.28247890628154e-91	1.77064238766593e-58	2.604086109872e-31	1.10816155695249e-57	-0.0500019252984213	-0.0488409703504043	NA
chr3	52312682	52312834	153	*	6	1.98522288673441e-56	6.44707641586669e-47	1.98996711201208e-22	1.39468590490625e-57	0.226060839430111	0.092837408548325	WDR82
chr17	80797881	80798068	188	*	6	3.42294237908674e-60	1.84391403250458e-49	1.35039495107666e-22	2.17806870110235e-57	0.0507817869415809	0.0257621045093447	TBCD, ZNF750
chr11	2722062	2722086	25	*	5	4.4737320021245e-79	8.41344461371891e-48	3.45831856747874e-28	2.35120890867567e-57	0.174438775510204	0.088783788987293	KCNQ1
chr18	72201504	72201785	282	*	8	8.60432600099793e-45	3.41431132353244e-59	4.73521136720737e-15	2.51162205262046e-57	0.0740949643140366	0.0367111177796346	CNDP1
chr19	14939260	14939300	41	*	2	5.36526480258275e-88	8.51630720028915e-58	2.85793284138901e-34	2.53630845345642e-57	0.106930340557276	0.0915224619453046	OR7A5
chr3	93698864	93698966	103	*	5	4.89155862667233e-97	1.33723829333689e-44	1.65262712315337e-37	2.56775408370271e-57	0.232241047362341	0.0562194840200231	NA
chr10	3057983	3058239	257	*	5	1.73189516997355e-45	2.16824221568677e-58	4.12158530076448e-18	3.3931047280688e-57	0.0496927430766123	0.0401634913965933	NA
chr14	90042201	90042222	22	*	3	1.75601347661931e-78	1.77179875129021e-57	2.58090590512823e-28	3.99098101892266e-57	0.048357894736842	0.0408595377494406	FOXN3, RP11-33N16.3
chr12	93323219	93323276	58	*	4	4.33577881616609e-86	1.3087025037352e-48	6.28767370229619e-29	4.12137984147131e-57	0.068288409703504	0.0363101655756642	NA
chr12	42853838	42854129	292	*	5	7.28038704138915e-51	1.18388728067074e-50	3.23535399172186e-20	5.17915357008309e-57	0.0381520833333333	0.0265888505553344	RP11-328C8.4, PRICKLE1
chr11	65153757	65153958	202	*	8	3.31877984158566e-55	6.85329995887356e-47	5.60054006852874e-19	5.69833936635903e-57	0.069720831728918	0.023240397574124	NA
chr6	153304813	153305022	210	*	6	3.95561524408991e-55	5.84790603008656e-45	4.47287850271098e-28	5.81357153656855e-57	-0.0458278783211397	0.00504396098061867	RP1-101K10.6
chr19	46522059	46522189	131	*	5	3.2331688446e-67	6.92030324375037e-57	4.31334847049897e-22	6.25203754939977e-57	0.0479842105263158	0.0430735507668415	CCDC61
chr13	103532260	103532435	176	*	4	6.7250390154001e-55	7.90726941435085e-58	4.60931168420298e-19	7.07671071360179e-57	0.0434133126934988	0.0390489420825982	NA
chr11	126138732	126138802	71	*	5	1.32609468487646e-94	2.31176085981842e-40	1.43818521668554e-37	9.05470408905057e-57	0.158263380824027	0.0366180207932229	SRPR
chr10	97802849	97803058	210	*	6	4.99699024892643e-84	1.1686153148044e-44	1.20975719033023e-36	9.35016940739957e-57	0.24328263380824	0.0827031189834424	ENTPD1-AS1
chr1	53905612	53905709	98	*	2	6.45416242308288e-113	4.3485882733112e-50	1.7109458804487e-48	1.2711586600403e-56	0.423013098184819	0.226957271486631	SLC25A3P1
chr12	14720726	14721092	367	*	7	2.12528365036104e-50	1.23358720489069e-44	1.67549872567253e-25	1.4604469704793e-56	0.153065075086638	0.0809818383144986	RP11-695J4.2, PLBD1
chr6	88494538	88494549	12	*	2	1.59290776319434e-84	2.67194328591008e-57	1.47393537133964e-31	1.47326822141962e-56	0.156375309405941	0.143309772421417	NA
chr20	50419193	50419248	56	*	4	1.79571976213242e-83	1.15255894527267e-48	3.38880310462734e-30	2.5239265083974e-56	0.104984159427696	0.04704309643205	NA
chr20	21490515	21490665	151	*	3	4.54789893082213e-64	3.24140359902025e-44	4.15484366018356e-30	3.2737134374136e-56	0.220625721986908	0.108574637402131	NA
chr11	57364841	57365018	178	*	5	1.20830664182796e-55	3.55505450973709e-57	6.88562883775342e-19	4.88950116520368e-56	0.143445578231293	0.0787218591044863	SERPING1
chr7	23749533	23749722	190	*	4	2.0962110253326e-57	9.68550890391366e-57	1.65124268573167e-23	4.97053659720756e-56	0.127159863945578	0.0725086151430671	NA
chr12	117457813	117457899	87	*	3	7.04793328595262e-70	1.78604156623969e-56	9.3921375518325e-27	5.04753758450555e-56	0.055670955882353	0.0450227449393998	FBXW8
chr11	126197277	126197316	40	*	3	7.99788121260935e-81	1.18287273712134e-54	8.07159743023761e-29	6.05321450910252e-56	0.0765842105263158	0.0548985520417261	DCPS
chr7	157053587	157053650	64	*	2	1.82876757316785e-81	3.17572983436218e-56	2.40684848636727e-34	6.63588662094826e-56	0.0792749105774144	0.0657920551236909	UBE3C
chr13	97928122	97928270	149	*	4	2.41620087711665e-54	1.31005579391209e-53	4.01842749919768e-20	8.87320344956032e-56	0.05546181630547	0.0394344111362655	MBNL2
chr10	99205921	99205966	46	*	4	7.15497760336364e-81	7.83666417340802e-50	5.25108323371058e-29	1.37188603963535e-55	0.256068540623797	0.0865744127839816	ZDHHC16
chr18	6284379	6284570	192	*	5	4.935408613468e-57	1.64369105559181e-53	1.72544209681793e-25	1.43535235549013e-55	0.0752916666666667	0.0380301692359842	L3MBTL4
chr11	64112387	64112573	187	*	5	1.59290776319434e-84	5.08783253453259e-46	1.01457419603097e-35	1.69664840893381e-55	0.256600619195047	0.066461958374645	CCDC88B
chr8	141595345	141595439	95	*	2	1.45641058580593e-60	3.28754714241588e-56	3.01949120161447e-31	1.71532945746068e-55	0.210398645127671	0.0278428098754926	AGO2
chr4	8136996	8137155	160	*	5	2.59471207951716e-66	2.51822964611405e-52	5.14537105197088e-27	2.50723595779276e-55	0.0715036014405762	0.0280610017551572	ABLIM2
chr3	58563609	58563674	66	*	4	2.48858460826602e-82	1.09880924211746e-48	1.40405258670292e-28	2.56069475096848e-55	0.129388223032829	0.0670123229729654	FAM107A
chr1	39339004	39339062	59	*	2	4.82947238230397e-103	7.21282446007352e-54	1.34474302186662e-39	2.89155142062475e-55	0.198228725452445	0.135739314593762	RP5-864K19.4, MYCBP, GJA9
chr3	185000648	185000824	177	*	4	3.3919385640518e-55	1.1867841787571e-39	1.43877257220482e-27	3.55904608457398e-55	0.178181555641124	0.0903104543704274	MAP3K13
chr2	240428153	240428335	183	*	5	9.34918377257746e-56	4.48431623609762e-47	3.21547043424794e-29	4.46617735405484e-55	0.080401712046205	0.0239477484344732	NA
chr19	14530105	14530417	313	*	7	1.8944843522047e-52	1.61984514406669e-41	7.74269490088547e-18	5.36760166640797e-55	0.104304004620716	0.0375382309257935	DDX39A
chr17	80780281	80780358	78	*	3	4.87825064780167e-77	1.90826622170569e-49	2.21922444812838e-32	5.91756946337753e-55	0.0783578947368421	0.0383738562091504	TBCD
chr5	176943966	176944162	197	*	6	2.94868442034261e-89	1.28435539824743e-39	2.40126003640118e-38	6.06896863603449e-55	0.236983057373893	0.0553908355795148	DDX41
chr10	102988831	102988889	59	*	4	3.4811852735772e-91	1.26787462487647e-43	2.59934970306829e-39	7.77915088404973e-55	0.259035425490951	0.0950502984212553	LBX1
chr2	175199646	175199803	158	*	6	4.40499610344109e-103	5.61652513621726e-42	7.06702598727624e-40	9.30728793611699e-55	0.302052368117058	0.08396467077397	SP9
chr2	220042852	220042941	90	*	4	8.38757820906585e-78	1.20913967465951e-44	4.59012262593556e-31	1.26755146556566e-54	0.12127262225645	0.043674913361571	FAM134A
chr15	86313834	86313973	140	*	7	1.07820442429359e-60	1.4812723077486e-56	5.68734566573992e-15	1.27113931441356e-54	0.0391026785714285	0.03120041862498	KLHL25
chr7	28319499	28319676	178	*	3	5.49946473505694e-47	5.10495063683574e-56	5.96783845963628e-21	1.30342309909059e-54	0.0691320949432408	0.0583809868682297	NA
chr6	109703513	109703593	81	*	2	3.3497962248872e-71	5.66560682165945e-55	4.74934706702607e-33	1.47782261943593e-54	0.134260685406238	0.0926419907585676	CD164
chr5	14581620	14581826	207	*	4	2.5901838983323e-101	5.59598582539676e-29	1.47354636545255e-41	1.7530050245233e-54	0.231790527531767	0.0870489988448209	NA
chr12	5541220	5541311	92	*	5	3.42443522949034e-80	1.88778154768308e-43	2.14441895331141e-26	2.57921184522842e-54	0.0969137466307277	0.0561522911051213	NTF3
chr12	12938287	12938425	139	*	4	6.46255056214996e-56	4.82109989584003e-56	7.07360793537328e-16	4.44029897459089e-54	0.0903539518900345	0.0647434907298823	APOLD1
chr1	59043173	59043370	198	*	6	3.07430064377443e-51	5.61630078042345e-56	7.14907526695369e-16	4.51846429608958e-54	0.210687331536388	0.15680353193527	NA
chr13	114292595	114292740	146	*	3	1.2392619023862e-57	3.69454219583326e-55	5.42955894511529e-22	4.53612036424273e-54	0.0711943720687858	0.0488910720793443	TFDP1
chr2	220174207	220174251	45	*	3	1.02291895476049e-94	2.93031056223373e-47	4.78905919510413e-40	6.01115972490742e-54	0.221469965344628	0.171217430368374	PTPRN
chr16	85625433	85625582	150	*	3	2.02917025387283e-53	5.32116169223142e-54	2.75425284057468e-27	8.86480207043581e-54	0.0782659313725491	0.0500732214514773	NA
chrX	18239032	18239095	64	*	4	3.5565364851122e-75	8.08416864111058e-43	1.30326161915305e-30	9.52261875045326e-54	0.145801341589267	0.063431968903108	NA
chr3	122283210	122283327	118	*	6	1.59812815592187e-78	2.65531363650942e-37	1.54728317343541e-31	1.06103720668438e-53	-0.152792645360031	-0.0151551469644462	DTX3L, PARP9
chr16	84093210	84093258	49	*	2	2.65902509667381e-101	1.71063307236382e-49	1.47905310870853e-43	1.12316511402106e-53	0.144208787909118	0.094392902141339	MBTPS1
chrX	16860721	16860764	44	*	3	1.28683115038922e-73	5.25817702985281e-55	2.38410393519812e-20	1.40295320350574e-53	0.0871389882473175	0.0804300273451788	TXLNG, RBBP7
chr2	97523823	97523931	109	*	6	1.48690666479829e-82	3.09788104144708e-31	9.31500753505061e-27	1.5159128354506e-53	0.176397766653831	0.057556796303427	ANKRD39
chr2	232329189	232329264	76	*	5	5.36790996435464e-83	1.0922704371981e-35	6.38487294689946e-26	1.95779281534168e-53	0.0697593376973433	0.0255789372352715	NCL
chr17	8534013	8534167	155	*	5	8.2965195859952e-76	8.03692417618872e-24	3.04160143195122e-39	1.99343486032803e-53	0.166480554485945	0.0527710820177126	MYH10
chr6	34984836	34984953	118	*	4	5.17513431529741e-44	1.21260073976879e-54	3.27585801291874e-19	2.31631814165765e-53	0.157603003465537	0.131009132875147	ANKS1A
chr1	165513253	165513361	109	*	5	5.18996790377777e-61	1.55167591337765e-55	8.52480716321269e-15	2.31657438144515e-53	0.0873238351944552	0.0643860223334617	LRRC52, RP11-280O1.2
chr2	238322274	238322334	61	*	3	3.27288036172094e-79	7.54257549775699e-38	1.12703291842165e-35	2.75580439887887e-53	0.145628865979382	0.0659216327507884	COL6A3
