ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
BP	regulation of mitotic recombination	7	0	1	1	MLH1
BP	mitotic spindle elongation	12	0	1	1	
BP	maltose metabolic process	3	0	1	1	GANC
BP	maltose catabolic process	1	0	1.00000000003536	1	
MF	alpha-1,2-mannosyltransferase activity	4	0	1	1	ALG11
BP	ribosomal large subunit assembly	25	5	0.176211405431865	1	RRS1,NOP2,MRTO4,DDX28,PPAN,RPL6,RPF2
BP	ribosomal small subunit assembly	18	2	0.653485551728247	1	ERAL1,PRKDC,RPS14
MF	mannosyltransferase activity	24	3	0.544432097793506	1	POMT2,ALG11,ALG12,TMTC4,DPM1
MF	alpha-1,3-mannosyltransferase activity	3	0	1	1	
MF	acyl binding	2	0	0.999999999964847	1	
MF	acyl carrier activity	1	0	0.999999999962108	1	
BP	very long-chain fatty acid metabolic process	35	4	0.616179985832924	1	SLC27A5,PEX5,ELOVL5,ELOVL3
BP	transition metal ion transport	103	17	0.106297580749852	1	ABCB6,SLC30A8,SLC39A12,SLC40A1,ARHGAP1,LCN2,MT3,ATOX1,SLC39A4,NECTIN1,TCN1,TRPC3,SLC30A2,SLC30A3,SLC30A4,STEAP4,TMEM163,ASIC3,FTMT
BP	autophagosome assembly	109	12	0.676403937678547	1	TCIRG1,C9orf72,ARFIP2,CHMP4A,RAB23,WDR45B,PSEN1,ATG9A,MAP1LC3B,ULK1,MAP1LC3A,LRSAM1,FEZ1,ULK2,ATG13,LRBA
MF	peptidyltransferase activity	2	1	0.208016553952808	1	GGT1
MF	tRNA binding	72	6	0.884110101037635	1	EARS2,TYW5,DUS2,TRMT1,TARS1,YRDC,ELP1,CTU1,SLFN11
BP	urea cycle	10	1	0.712095404951719	1	SLC25A2
BP	citrulline metabolic process	8	1	0.649817964374233	1	DDAH1,CAD
BP	argininosuccinate metabolic process	1	0	0.999999999976192	1	
BP	ribosomal subunit export from nucleus	15	2	0.561257604989524	1	RRS1,EIF6
BP	ribosomal large subunit export from nucleus	7	1	0.597788436360756	1	RRS1
BP	ribosomal small subunit export from nucleus	8	0	1	1	
MF	fatty-acyl-CoA binding	22	3	0.505118465904761	1	ACOT7,ACAD9,ACADVL,PITPNA
MF	L-ornithine transmembrane transporter activity	5	1	0.480206508808806	1	SLC25A2
BP	mitotic sister chromatid segregation	203	23	0.659705385932839	1	PTTG2,KIF2C,CDCA5,PHF13,SGO1,POGZ,RRS1,PDS5A,NCAPH,NUP62,CHAMP1,CHMP4A,NCAPH2,ANAPC2,ANAPC4,KMT5A,ATM,CHMP5,CHTF8,PSMG2,ACTB,SMARCD2,ZNF207,SMC1A,NAA10,NUF2,PSRC1,KLHL22,ESPL1,NCAPD2
BP	cell cycle checkpoint signaling	186	26	0.24508944572701	1	CDK2,PLK2,ERCC6,INTS7,GIGYF2,PRPF19,GML,DONSON,NBN,ATM,TRIAP1,DTL,CHFR,PRKDC,PSMG2,CCND1,SETMAR,BRCA1,XPC,ZNF207,NABP2,BRCC3,FBXO31,CEP63,CDC45,NUF2,KLHL22,ZFYVE19,NAE1,TICRR,TAOK2,CLOCK,BABAM2
BP	DNA replication checkpoint signaling	17	3	0.315714089050431	1	CDC45,NAE1,TICRR
BP	DNA damage checkpoint signaling	121	16	0.399222429279949	1	CDK2,PLK2,ERCC6,INTS7,GIGYF2,PRPF19,GML,DONSON,NBN,ATM,TRIAP1,DTL,PRKDC,CCND1,BRCA1,XPC,BRCC3,FBXO31,CEP63,TICRR,TAOK2,CLOCK,BABAM2
BP	regulation of cyclin-dependent protein serine/threonine kinase activity	107	14	0.299045777049404	1	CDKN2A,CDKN2B,CDKN2D,IPO7,HEXIM1,EGFR,CCNY,SFN,MEN1,CCND1,ACTB,PSRC1,CDK5R1,CCND2,PKMYT1,CCNE2
BP	mitotic G1 phase	2	1	0.232682704123527	1	SYCP2
BP	G1/S transition of mitotic cell cycle	250	35	0.116268833816728	1	CDK2,PSME3,CDK2AP2,CDKN2A,CDKN2B,CDKN2D,KHDRBS1,PLK2,FAM107A,NACC2,EGFR,ESRRB,KANK2,GIGYF2,GML,ANXA1,HYAL1,INHBA,ATM,NPAT,DDR2,TRIAP1,CPSF3,PRKDC,MEPCE,GJC2,PSME1,USP29,CCND1,BCL2,ACTB,RRM2,CCL2,SMARCD2,UBE2E2,FBXO31,CUL5,CCND2,ACVR1B,CCNE2,SLFN11
BP	regulation of transcription involved in G1/S transition of mitotic cell cycle	21	1	0.938701345040936	1	ESRRB,NPAT
BP	G2/M transition of mitotic cell cycle	142	22	0.126300350652586	1	CDK2,KHDRBS1,ARPP19,ESRRB,CCNY,CCDC57,DONSON,NBN,ATM,PBX1,PPME1,DTL,CHFR,AVEN,CCND1,MIIP,BRCA1,NABP2,BRCC3,CALM2,ZFYVE19,NAE1,TICRR,PKMYT1,TAOK2,BABAM2
MF	S-adenosyl-L-methionine transmembrane transporter activity	1	0	0.999999999992803	1	
BP	sulfur amino acid metabolic process	32	3	0.770843919060818	1	CDO1,GGT1,MPST,TST
BP	sulfur amino acid biosynthetic process	16	2	0.599309176482337	1	CDO1,GGT1
BP	sulfur amino acid catabolic process	9	2	0.302998323634643	1	CDO1,MPST,TST
MF	sulfur amino acid transmembrane transporter activity	11	0	1	1	
BP	sulfur amino acid transport	9	0	1	1	
BP	sulfate assimilation	2	0	1.00000000000682	1	
MF	succinate dehydrogenase activity	4	0	1	1	
BP	histidine biosynthetic process	2	0	0.999999999960517	1	
CC	nucleotide-excision repair complex	11	0	1	1	XPC
CC	nucleotide-excision repair factor 1 complex	3	0	1	1	
CC	nucleotide-excision repair factor 2 complex	1	0	0.999999999980618	1	XPC
CC	nucleotide-excision repair factor 3 complex	1	0	1.00000000003186	1	
BP	regulation of transcription involved in G2/M transition of mitotic cell cycle	2	1	0.237265768874758	1	ESRRB
CC	histone deacetylase complex	81	8	0.803430107753682	1	SRCAP,MORF4L1,DNTTIP1,ING2,ARID4B,MBD3,HR,RBBP4,HDAC11,HDAC3
CC	RNA polymerase I transcription regulator complex	6	0	1	1	
MF	glycerol-1-phosphatase activity	1	0	1.0000000000055	1	
BP	negative regulation of transcription by RNA polymerase II	947	112	0.582732421436699	1	NR2E3,NR1H3,TRIM28,AASS,CDK2,HOXB13,HEXIM1,LEFTY1,KHDRBS1,KLF12,NACC1,FOXP4,NACC2,TCP10L,GATA5,ZBTB46,ZNF558,CTBP1,HJV,GLIS1,DAB2IP,NKX6-3,PARP15,ZBTB49,ZNF169,DLX1,EN1,FGF9,CPEB3,FOXJ1,FOXS1,FOXO3,RTF1,SIRT1,CBX7,ZIM2,ZNF345,KANK2,ZBTB20,GATA1,GATA2,ANKRD2,ZNF619,GPS2,HIPK2,TAGLN3,UHRF1,H1-5,HOXB3,HOXB4,APBB2,DNAJB1,IGF2,ING2,KMT5A,LEP,MEN1,NDN,NEDD4,NFATC4,NODAL,PRKN,FOXP3,ARID4B,PEG3,PLAGL1,BCL11A,MBD3,POU1F1,CC2D1A,PPM1A,DNAJC17,LYAR,MEPCE,PSEN1,ASCL3,ZNF248,ZBTB4,TRIB3,MYOZ1,RBBP4,CCND1,RORC,RPS14,MAGEF1,IRF2BPL,BMP4,SOX10,SOX15,SP2,SREBF1,STAT1,ZEB1,VPS72,MLX,THRB,KLF10,WT1,ZFP36,ZBTB14,ZNF148,PRDM2,ZNF343,ZNF750,ZNF556,ZKSCAN3,ZNF436,USP9X,PARP9,NR0B2,ZGPAT,BHLHE40,TNFSF11,RUNX3,HDAC3,NR1I2,SQSTM1,FOXH1,MLIP,RPL23,CIR1,NCOR2
CC	histone acetyltransferase complex	91	9	0.789216791740855	1	MCRS1,MORF4L1,KAT6B,BRD1,KAT2A,TAF5L,MLLT1,POLE4,ACTB,TAF6,VPS72
CC	SAGA complex	25	1	0.956920390026567	1	KAT2A,TAF5L,TAF6
CC	transcription factor TFIIIB complex	3	0	1	1	
CC	transcription factor TFIIIC complex	6	1	0.54005065100822	1	GTF3C6
BP	establishment of mitotic spindle orientation	33	1	0.987141566450789	1	CENPA
CC	Golgi cis cisterna	28	3	0.336105820626207	1	SMPD3,NECAB3,XYLT1,TMEM59
CC	Golgi trans cisterna	12	0	1	1	TMEM59
CC	Golgi membrane	661	63	0.985974279603516	1	ABCB6,HUWE1,CHST4,COG5,GALNT6,MGAT4A,SLC35A4,CLCN5,AP1S3,ZDHHC19,AP1G1,EGFR,DIPK2A,SACM1L,FOLR1,SNAPIN,PLD3,MTOR,FUT3,FUT8,HEPACAM2,MGAT4C,GALNT1,GALNT2,CYTH4,PYCARD,GRM6,ZDHHC8,ST6GALNAC6,INS,B3GNT8,LALBA,MYO18A,NOS3,FURIN,SLC35B3,GCNT4,ZDHHC3,ERGIC3,ATP6AP1,LPCAT2,SMPD3,PSENEN,PSEN1,PSEN2,SPPL2B,PMEPA1,MAP4K2,GOLPH3,XYLT1,SLC2A1,SREBF1,ATG9A,APOO,STEAP4,KIAA0319L,PTGES2,GNPTG,CRACR2A,CHST1,BLZF1,STX16,STX10,PKMYT1,CD1E,PGAP3,CHST3,TMEM59,ABCG1,ARHGAP32,PJA2,FIG4
MF	acylglycerone-phosphate reductase activity	1	0	1.00000000001955	1	
CC	exocyst	15	3	0.286503276268146	1	EXOC3L1,EXOC6,EXOC3L2
MF	microfilament motor activity	37	10	0.0107334687364644	0.93655969822942	MYO1H,MYO1F,MYH1,MYH6,MYH7,MYH10,MYO1A,MYO1C,MYO7A,MYO9B,MYO5C
MF	SNARE binding	109	10	0.875256876076106	1	CAPN10,STX1B,STXBP5,SNAPIN,BLOC1S6,EXOC3L1,KCNB1,STX16,STX10,EXOC3L2,SNPH
MF	DNA strand exchange activity	2	0	1.00000000000314	1	
CC	ubiquitin ligase complex	307	34	0.740609504600045	1	KLHDC3,ANKRD9,RNF19B,UBR3,DCAF4L2,ASB6,UBR1,UBR2,CBX7,ARIH1,ANAPC13,DCAF4,FBXO2,FBXL4,FBXO8,ANAPC2,ANAPC4,LMO7,NEDD4,PRKN,CRBN,DTL,ASB4,AUP1,KLHL9,BRCA1,ELOB,BRCC3,FBXO31,UBXN8,CUL5,FBXO38,SHARPIN,SPOP,KBTBD7,DYRK2,KLHL22,FBXO44,BABAM2,RNF14,KEAP1
CC	nuclear ubiquitin ligase complex	45	5	0.6517091686647	1	ASB6,CBX7,ANAPC13,ANAPC2,ANAPC4,BRCA1,BRCC3,BABAM2
CC	cytoplasmic ubiquitin ligase complex	14	1	0.8371932359597	1	AUP1,ELOB
BP	rRNA modification	37	5	0.430212763109747	1	EMG1,TSR3,FTSJ3,NOP2,METTL25B,TFB1M,FDXACB1
CC	protein phosphatase type 2A complex	16	2	0.611416336959012	1	PPP2R2D,NKD1
BP	phosphorelay signal transduction system	1	0	0.999999999971686	1	
CC	protein phosphatase type 1 complex	18	4	0.148022060620635	1	PPP1CA,PPP1CC,PPP1R3A,PPP1R3D,SHOC2
BP	MAPK cascade	789	103	0.11885124397944	1	HIPK3,PAK4,TLR6,STK25,CIB1,PHB2,CRYAB,CRYBA1,CSF1R,IL34,NEK10,KLB,DAB2IP,SH3RF2,CNKSR3,ADRB3,DUSP7,EGFR,ERBB2,ERCC6,MTURN,FGB,FGF1,FGF2,FGFR1,FGFR3,FLT4,PIK3R5,CBLC,NUP62,ALK,ALOX12B,CXCL17,RELL2,GPS2,LAMTOR2,HIPK2,PYCARD,NENF,APOE,IGF2,IGFBP3,INHBA,INS,INSR,ITGAV,TBC1D10C,KISS1,LEP,SMAD1,MAP3K5,MEN1,MMP8,MST1R,MT3,NF1,NODAL,NPPA,NRTN,NTRK1,DDR2,P2RY6,PRKN,DUSP13,PDE6G,PDE6H,PDGFRB,PIK3CB,PLA2G5,PPEF2,LAMTOR1,PPP1CC,IL26,MAPK9,PSEN1,PAK6,PRDM11,CHRNA10,PTPRR,MAP4K2,ACE2,ROS1,CCL2,CCL7,CCL17,CCL19,CCL20,CCL25,CX3CL1,NOD2,BMP4,DENND2B,ZFP36L2,TBX1,TDGF1,THBS1,TIMP3,TRAF1,ZFP36,MAP3K12,BIRC7,PABPN1,SPRY4,CCM2,WDR54,CASR,CRACR2A,TNFSF11,IQGAP1,HDAC3,ITGB1BP1,TAOK2,PAGE4,CD44,PJA2,RCE1
MF	nucleotide binding	2116	259	0.451541812504731	1	UBA2,ABCB6,ATP9A,HIPK3,TRAP1,ARFRP1,CDK2,DDX39A,SPEG,PAK4,ABCA9,TIMM44,HOXB13,STK25,TXNRD2,ADCY1,PLK2,FAM114A2,SRCAP,ILVBL,SLC27A5,KIF2C,CHD2,DUS4L,KTI12,ACOT7,HELQ,RAB42,ACSM1,HSPA12B,CLCN5,CLK3,TDRD9,ABCC2,EARS2,CNGB1,NLRP8,NEK7,STK35,CSF1R,DNHD1,CSNK1D,CTBP1,NEK10,GBP6,DQX1,PARP15,DHCR7,DNM1,DNAH8,EGFR,DNAH10,ACSF3,SLFNL1,EPB42,ERBB2,ERCC6,AK9,FGFR1,FGFR3,FHIT,MRAS,SNRNP200,RHOBTB2,FLT4,FMO1,FMO2,FMO3,LARS2,SIRT1,HARS2,TSSK2,ARFIP2,ALK,MTOR,RAD54B,CFAP45,TTLL1,GAPDH,PARS2,HACL1,MTG2,ARL5A,ERAL1,AMHR2,STK36,MOCS3,TOR1B,GLUL,GNAL,GNAS,GPD1,MYO1H,GATC,TSSK4,ACAD9,HIPK2,ARHGAP35,UHRF1,NME7,HARS1,HLCS,HSD11B1,HSD11B2,ABCB5,KIF24,INSR,INSRR,ACADVL,KCNJ11,ENTPD8,ARF4,KIF5B,ARF5,ARF6,GDPGP1,LBR,ARHGAP5,RHOH,MYO18A,LTK,MATK,MBD1,MCM4,MAP3K5,MLH1,MST1R,MYO1F,MX2,MYH1,MYH6,MYH7,MYH10,MYO1A,MYO1C,MYO7A,MYO9B,ATM,NDUFS2,NDUFV1,ATP1A3,ATP1A4,NOS3,ATP2B1,NTRK1,DDR2,ATP5F1A,SMARCAL1,COQ6,PCK1,NDUFA13,PDE4A,PRKAG2,PDE4D,PDE6G,PDE6H,RTCB,PDGFRB,ACSL5,RAB23,ATP6V1B1,PHKG1,PIK3C2A,PIK3C2B,PIK3CB,PI4KA,PITPNA,MBD3,EXOSC10,SEPTIN5,HAO1,GFOD1,MOV10L1,POR,DUS2,NMRK1,ZCWPW1,ACOXL,DNAJA4,PRKAR1A,CHFR,PRKAR2A,DDX28,AXL,ADCY10,PRKCH,PRKCQ,PRKDC,PRKG1,PRKG2,MYO5C,MAPK9,STK31,TWNK,SPHK2,BDH2,PAK6,PSMC5,RAB25,ATP10A,BAG1,CLK4,PTK6,ZBTB4,FANCM,TRIB3,ACTA1,RRAGD,RAB3B,RAB4A,MAP4K2,RAC3,RENBP,ACTB,RIT1,ROS1,BCR,RTKN,RBKS,POPDC2,NOD2,ABCG5,ABCG8,SIL1,BMPR1A,SRPRA,STK11,SUPV3L1,TARS1,TESK1,TUBA3C,TXNRD1,TYRO3,UBA1,UBE2E2,MPPED2,XRCC2,MAP3K12,CAD,DDX50,PANK3,STEAP4,NOL9,TTLL7,UBA5,FOXRED2,MAP3K19,HKDC1,TARS2,GRPEL1,CLPB,ACSBG2,MKKS,SYN3,SMC1A,LONP2,RAB34,TSSK6,ULK1,ACAD11,NTPCR,DYRK2,GLYR1,CRACR2A,CBR4,MYLK2,AGPS,RUNX3,ABCC3,RNGTT,DYRK4,NAV2,RHOT2,KALRN,PKMYT1,DHX57,KIFC2,ACVR1B,SLFN11,DGKI,RPS6KA5,TAOK2,KIF3B,RECQL5,ABCC12,ENTPD2,H6PD,ABCG1,AATK,ULK2,DHX38,RHOBTB1,XYLB,CRYZL1
MF	sphingosine hydroxylase activity	1	0	1.00000000000861	1	
MF	ribonuclease MRP activity	2	0	1.00000000002831	1	
CC	ribonuclease MRP complex	10	2	0.294581695271822	1	RPP25L,RPP25
MF	3'-5'-exoribonuclease activity	36	8	0.0653183551916814	1	ERI2,PNLDC1,EXOSC7,EXOSC10,EXD2,CNOT6,USB1,ISG20L2,CNOT8
CC	nuclear exosome (RNase complex)	12	1	0.770922912489483	1	EXOSC7,EXOSC10
CC	cytoplasmic exosome (RNase complex)	15	2	0.539391688458134	1	EXOSC7,EXOSC10,SUPV3L1
CC	exosome (RNase complex)	19	2	0.677509185157966	1	EXOSC7,EXOSC10,SUPV3L1
MF	rRNA (adenine-N6,N6-)-dimethyltransferase activity	4	1	0.386886658502052	1	METTL25B,TFB1M
MF	rDNA binding	10	2	0.356293736941979	1	MTOR,BNC2,MAF1
BP	rDNA heterochromatin formation	9	1	0.692323956742102	1	SIRT1
BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	40	7	0.209835495097172	1	PNLDC1,ETF1,PABPC1,EXOSC10,SECISBP2,CTIF,SMG7
BP	protein polyubiquitination	245	29	0.58388172587865	1	HUWE1,RNF19B,DTX3L,HECW1,TRIM2,ARIH1,ANAPC13,PRPF19,GPS2,ANAPC2,ANAPC4,NEDD4,PRKN,DTL,MARCHF5,OTUB1,CHFR,BCL2,NOD2,BRCA1,TRAF1,UBE2E2,UBE2V2,MKRN3,RNF26,MUL1,FBXO38,SHARPIN,SPOP,KBTBD7,ZNRF1,LRSAM1,RNF14,TRIM14
MF	NAD+ diphosphatase activity	3	0	1	1	
BP	meiotic spindle organization	15	2	0.55317023999286	1	ESPL1,WASHC5
MF	tRNA-intron endonuclease activity	2	0	0.999999999993552	1	
CC	tRNA-intron endonuclease complex	4	0	1	1	
MF	tRNA 2'-phosphotransferase activity	2	0	1.00000000001588	1	
MF	DNA secondary structure binding	36	3	0.836154254367647	1	RAD51AP1,MEN1,FANCM,XPC,XRCC2
CC	vacuolar proton-transporting V-type ATPase, V0 domain	10	1	0.732251509916007	1	TCIRG1
CC	vacuolar proton-transporting V-type ATPase, V1 domain	11	1	0.757790231056561	1	ATP6V1B1
MF	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1	0	0.999999999998326	1	
MF	N-acetylglucosaminylphosphatidylinositol deacetylase activity	1	1	0.127083392836951	1	PIGL
BP	microtubule cytoskeleton organization	639	73	0.732882076621871	1	CDK2,CDK2AP2,TRDN,RBM14,CIB1,CENPA,CETN1,CETN3,PLK2,TUBGCP2,MAPRE2,KIF2C,FAM107A,HAUS1,SLAIN1,CCSAP,NEK7,CRYAB,CSNK1D,SGO1,CFAP206,CAMSAP1,DNAAF4,DNAH8,SLC39A12,SKA3,PPP1R35,ATF5,FOXJ1,CLASP2,MTCL1,OBSL1,SIRT1,NUP62,EML2,HEPACAM2,CFAP65,TTLL1,GAPDH,CLIP3,C2CD3,KAT2A,INPP5J,STK36,TUBGCP4,CCDC88B,CCDC57,SETD2,CHMP4A,KIF24,SKA2,STMN1,MLH1,PARD6A,PCM1,CHMP5,HAUS4,HAUS2,CCDC88A,DNAI2,BRCA1,TACC1,TBCD,TUBA3C,XRCC2,ZNF207,HAUS3,TTLL7,CEP76,CEP63,CEP44,SMC1A,NUF2,CCDC8,PSRC1,DOCK7,SSNA1,MPDZ,HDAC3,CDK5R1,NAV1,PHLDB2,KIFC2,ODAD1,KIF3B,ESPL1,CEP57,WASHC5
CC	nuclear chromosome	247	24	0.877319611922414	1	SYCP2,MCRS1,SRCAP,MORF4L1,WDHD1,RRS1,NCAPH,NCAPH2,REPIN1,H3-3A,ING2,MCM4,MLH1,SMARCAL1,SYCP3,ARID4B,POLE4,POLD4,RBBP4,BRCA1,SMC1A,CDC45,H3C6,H3C12,H3C2,H4C4,H4C2,NCAPD2
CC	astral microtubule	11	1	0.761216005641231	1	CCSAP
CC	pericentriolar material	22	3	0.517617285565387	1	BBS9,CEP85L,PCM1
CC	commitment complex	5	1	0.479807563496152	1	U2AF2
BP	spliceosomal tri-snRNP complex assembly	18	1	0.892580580220096	1	PRPF6,PRPF19
BP	spliceosomal complex assembly	81	2	0.999362532303049	1	SNRNP200,PRPF6,PRPF19
MF	delta24(24-1) sterol reductase activity	1	0	0.999999999992651	1	
MF	C-8 sterol isomerase activity	1	0	1.00000000003592	1	
MF	C-5 sterol desaturase activity	2	0	1.00000000000874	1	
MF	lanosterol synthase activity	1	0	1.00000000000938	1	
MF	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1	0	0.999999999966929	1	
MF	3-keto sterol reductase activity	4	0	1	1	
MF	C-4 methylsterol oxidase activity	3	0	1	1	
BP	allantoin metabolic process	9	0	1	1	
BP	allantoin catabolic process	1	0	0.999999999969232	1	
BP	mitochondrial fission	40	7	0.205938551068723	1	MTFR2,DCN,PRKN,CYRIB,MARCHF5,MFF,INF2,MUL1
MF	peroxisome targeting sequence binding	6	1	0.551478549396181	1	PEX5,BABAM2
BP	peptidoglycan metabolic process	6	1	0.515227581368776	1	PGLYRP3
BP	polysaccharide biosynthetic process	73	11	0.226581281492088	1	SORBS1,GYS2,IGF2,INS,INSR,B3GNT8,PHKG1,PPP1CA,PPP1R3A,PPP1R3D,SMPD3,DYRK2,EPM2AIP1
BP	polysaccharide catabolic process	20	4	0.206839412090841	1	CHIT1,CHIA,INS,PPP1CA,PPP1R3D
CC	mitochondrial proton-transporting ATP synthase, stator stalk	2	1	0.203797333186559	1	ATP5PO
CC	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	6	0	1	1	ATP5F1A
CC	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	10	1	0.685844579892937	1	ATP5PO
BP	mitotic cell cycle	944	120	0.225295473407683	1	CDK2,PSME3,CDK2AP2,CDKN2A,CDKN2B,CDKN2D,CIB1,CENPA,KHDRBS1,CETN1,PTTG2,PLK2,ARPP19,TUBGCP2,KIF2C,WDHD1,FAM107A,CDCA5,PHB2,CCSAP,TPRA1,NACC2,NEK7,PHF13,SGO1,EGFR,EPS8,ESRRB,CCNY,SKA3,CLASP2,POGZ,RRS1,PDS5A,OBSL1,NCAPH,SIRT1,NUP62,ANAPC13,KANK2,L3MBTL1,GIGYF2,TUBGCP4,GML,CHAMP1,CCDC57,ANK3,SETD2,CHMP4A,TMOD3,NCAPH2,ANAPC2,ANAPC4,DONSON,ANXA1,HYAL1,IGF2,SKA2,INHBA,INS,INSR,KMT5A,STMN1,MCM4,MEN1,MYH10,NBN,ATM,NPAT,DDR2,PBX1,PPME1,TRIAP1,CHMP5,DTL,PDGFRB,CPSF3,EXOC6,CHTF8,PHIP,NRDE2,SMPD3,CHFR,PPP2R2D,PRKDC,MEPCE,LGMN,PSMG2,AVEN,GJC2,PSME1,USP29,CCND1,BCL2,ACTB,MIIP,RRM2,RTKN,CCL2,SETMAR,BMP4,SMARCD2,SPTBN1,BRCA1,ZFP36L2,BTC,TACC1,TBCD,TUBA3C,UBE2E2,XPC,XRCC2,ZNF207,NABP2,BRCC3,FZD3,FBXO31,CALM2,CUL5,CLTCL1,SMC1A,NAA10,CDC45,NUF2,CCDC8,PSRC1,KLHL22,ZFYVE19,IQGAP1,NAE1,CCND2,TICRR,PKMYT1,KIFC2,ACVR1B,CCNE2,SLFN11,TAOK2,KIF3B,RECQL5,BABAM2,ESPL1,NCAPD2
BP	nuclear division	479	59	0.443659566926379	1	SYCP2,RAD51AP1,PTTG2,KIF2C,HSF2BP,CDCA5,PHB2,KLHDC3,TDRD9,CCSAP,ASZ1,PHF13,SGO1,EPS8,CLASP2,POGZ,RRS1,PDS5A,UBR2,OBSL1,NCAPH,NUP62,RAD54B,L3MBTL1,CHAMP1,TERB1,CHMP4A,NCAPH2,ANAPC2,ANAPC4,STRA8,IGF2,ING2,INS,INSR,KMT5A,MLH1,ATM,SYCP3,CHMP5,PDGFRB,WNT4,MOV10L1,CHTF8,PHIP,ZCWPW1,SMPD3,CHFR,FOXJ2,PPP2R2D,PSMG2,FANCM,ACTB,DMRTC2,BMP4,SMARCD2,BTC,ZNF207,BRME1,C11orf80,SMC1A,NAA10,NUF2,CCDC8,PSRC1,KLHL22,PKMYT1,KIFC2,CCNE2,KIF3B,ESPL1,WASHC5,NCAPD2
BP	mitotic cytokinesis	84	9	0.705499411785906	1	CENPA,NUP62,ANK3,CHMP4A,STMN1,MYH10,CHMP5,EXOC6,RTKN,SPTBN1,ESPL1
MF	1-phosphatidylinositol-3-phosphate 5-kinase activity	3	0	1	1	
